model,variant,split,accuracy,precision,recall,f1,roc_auc
hgb,baseline,train,1.0,1.0,1.0,1.0,1.0
hgb,baseline,test,0.952023988005997,0.8987341772151899,0.7473684210526316,0.8160919540229885,0.9060176665439823
et,baseline,train,1.0,1.0,1.0,1.0,1.0
et,baseline,test,0.904047976011994,0.918918918918919,0.35789473684210527,0.5151515151515151,0.8998711814501288
rf,baseline,train,1.0,1.0,1.0,1.0,1.0
rf,baseline,test,0.9280359820089955,0.9795918367346939,0.5052631578947369,0.6666666666666666,0.9222764078027236
xgb,baseline,train,1.0,1.0,1.0,1.0,1.0
xgb,baseline,test,0.9535232383808095,0.8636363636363636,0.8,0.8306010928961749,0.9124585940375414
hgb,tuned,train,1.0,1.0,1.0,1.0,1.0
hgb,tuned,test,0.952023988005997,0.8620689655172413,0.7894736842105263,0.8241758241758241,0.9184762605815237
et,tuned,train,1.0,1.0,1.0,1.0,1.0
et,tuned,test,0.9415292353823088,0.8255813953488372,0.7473684210526316,0.7845303867403315,0.9212458594037541
rf,tuned,train,0.9786196549137285,0.9321148825065274,0.9201030927835051,0.9260700389105059,0.9978458224342207
rf,tuned,test,0.9505247376311844,0.8444444444444444,0.8,0.8216216216216217,0.9225708502024291
xgb,tuned,train,1.0,1.0,1.0,1.0,1.0
xgb,tuned,test,0.9580209895052474,0.8850574712643678,0.8105263157894737,0.8461538461538461,0.916083916083916
xgb,threshold_tuned,train,1.0,1.0,1.0,1.0,1.0
xgb,threshold_tuned,test,0.9550224887556222,0.9012345679012346,0.7684210526315789,0.8295454545454546,0.916083916083916
