model,variant,split,accuracy,precision,recall,f1,roc_auc
logreg,baseline,train,0.777569392348087,0.37298636926889717,0.7757731958762887,0.503765690376569,0.8455169573599558
logreg,baseline,test,0.7766116941529235,0.365,0.7684210526315789,0.49491525423728816,0.8187523003312477
knn,baseline,train,1.0,1.0,1.0,1.0,1.0
knn,baseline,test,0.8785607196401799,0.8888888888888888,0.16842105263157894,0.2831858407079646,0.8675469267574529
rf,baseline,train,1.0,1.0,1.0,1.0,1.0
rf,baseline,test,0.9280359820089955,0.9795918367346939,0.5052631578947369,0.6666666666666666,0.9222764078027236
logreg,tuned,train,0.7756939234808702,0.36809045226130654,0.7551546391752577,0.49493243243243246,0.8346499008897296
logreg,tuned,test,0.7736131934032984,0.3627450980392157,0.7789473684210526,0.49498327759197325,0.8295178505704821
logreg,threshold_tuned,train,0.7996999249812453,0.3968926553672316,0.7242268041237113,0.5127737226277372,0.8346499008897296
logreg,threshold_tuned,test,0.7961019490254873,0.38285714285714284,0.7052631578947368,0.4962962962962963,0.8295178505704821
knn,tuned,train,0.9223555888972244,0.91324200913242,0.5154639175257731,0.6589785831960461,0.9688328747409104
knn,tuned,test,0.881559220389805,0.7222222222222222,0.2736842105263158,0.3969465648854962,0.7328211262421789
knn,threshold_tuned,train,0.9028507126781695,0.5996908809891809,1.0,0.7497584541062802,0.9688328747409104
knn,threshold_tuned,test,0.7841079460269865,0.3515151515151515,0.6105263157894737,0.4461538461538462,0.7328211262421789
rf,tuned,train,0.9786196549137285,0.9321148825065274,0.9201030927835051,0.9260700389105059,0.9978458224342207
rf,tuned,test,0.9505247376311844,0.8444444444444444,0.8,0.8216216216216217,0.9225708502024291
