cluster,feature,category,pct_in_cluster,count
-1,International plan,No,0.8765432098765432,71
-1,International plan,Yes,0.12345679012345678,10
-1,State,NE,0.04938271604938271,4
-1,State,OK,0.04938271604938271,4
-1,State,CT,0.037037037037037035,3
-1,State,ID,0.037037037037037035,3
-1,State,MI,0.037037037037037035,3
-1,Voice mail plan,No,0.5802469135802469,47
-1,Voice mail plan,Yes,0.41975308641975306,34
0,International plan,No,0.8993028659953525,2322
0,International plan,Yes,0.10069713400464755,260
0,State,WV,0.033307513555383424,86
0,State,MN,0.026336173508907823,68
0,State,OH,0.025561580170410533,66
0,State,WY,0.025561580170410533,66
0,State,AL,0.02517428350116189,65
0,Voice mail plan,No,0.7304415182029435,1886
0,Voice mail plan,Yes,0.26955848179705655,696
1,International plan,No,1.0,3
1,State,CA,0.3333333333333333,1
1,State,HI,0.3333333333333333,1
1,State,IN,0.3333333333333333,1
1,Voice mail plan,Yes,1.0,3
