cluster,feature,category,pct_in_cluster,count
0,International plan,No,0.8935849056603774,1184
0,International plan,Yes,0.10641509433962264,141
0,State,WV,0.03169811320754717,42
0,State,OH,0.028679245283018868,38
0,State,IN,0.027169811320754716,36
0,State,MN,0.027169811320754716,36
0,State,WY,0.027169811320754716,36
0,Voice mail plan,No,0.6973584905660377,924
0,Voice mail plan,Yes,0.3026415094339623,401
1,International plan,No,0.9038031319910514,1212
1,International plan,Yes,0.09619686800894854,129
1,State,WV,0.0343027591349739,46
1,State,OR,0.027591349739000747,37
1,State,AL,0.026845637583892617,36
1,State,MN,0.02535421327367636,34
1,State,NY,0.02535421327367636,34
1,Voice mail plan,No,0.7524235645041014,1009
1,Voice mail plan,Yes,0.24757643549589858,332
