cluster,feature,category,pct_in_cluster,count
0,International plan,No,0.8871224165341812,558
0,International plan,Yes,0.11287758346581876,71
0,State,WV,0.034976152623211444,22
0,State,ID,0.03179650238473768,20
0,State,OH,0.03179650238473768,20
0,State,FL,0.028616852146263912,18
0,State,GA,0.028616852146263912,18
0,Voice mail plan,Yes,1.0,629
1,International plan,No,0.9133522727272727,643
1,International plan,Yes,0.08664772727272728,61
1,State,VA,0.036931818181818184,26
1,State,MN,0.029829545454545456,21
1,State,VT,0.029829545454545456,21
1,State,WV,0.029829545454545456,21
1,State,NV,0.028409090909090908,20
1,Voice mail plan,No,0.9673295454545454,681
1,Voice mail plan,Yes,0.032670454545454544,23
2,International plan,No,0.8855421686746988,588
2,International plan,Yes,0.1144578313253012,76
2,State,WV,0.04066265060240964,27
2,State,AL,0.03614457831325301,24
2,State,MD,0.030120481927710843,20
2,State,OK,0.02710843373493976,18
2,State,WI,0.02710843373493976,18
2,Voice mail plan,No,0.9533132530120482,633
2,Voice mail plan,Yes,0.046686746987951805,31
3,International plan,No,0.9073243647234679,607
3,International plan,Yes,0.09267563527653214,62
3,State,WY,0.03288490284005979,22
3,State,CO,0.029895366218236172,20
3,State,MN,0.029895366218236172,20
3,State,MI,0.026905829596412557,18
3,State,NM,0.026905829596412557,18
3,Voice mail plan,No,0.9252615844544095,619
3,Voice mail plan,Yes,0.07473841554559044,50
