cluster,feature,category,pct_in_cluster,count
-1,International plan,No,0.8943089430894309,110
-1,International plan,Yes,0.10569105691056911,13
-1,State,OK,0.056910569105691054,7
-1,State,CO,0.04065040650406504,5
-1,State,MI,0.04065040650406504,5
-1,State,NY,0.04065040650406504,5
-1,State,VT,0.04065040650406504,5
-1,Voice mail plan,No,0.5365853658536586,66
-1,Voice mail plan,Yes,0.4634146341463415,57
0,International plan,No,0.8988188976377953,2283
0,International plan,Yes,0.10118110236220472,257
0,State,WV,0.03385826771653543,86
0,State,MN,0.02637795275590551,67
0,State,AL,0.025196850393700787,64
0,State,VA,0.025196850393700787,64
0,State,NY,0.024803149606299212,63
0,Voice mail plan,No,0.7350393700787402,1867
0,Voice mail plan,Yes,0.26496062992125985,673
1,International plan,No,1.0,3
1,State,CA,0.3333333333333333,1
1,State,HI,0.3333333333333333,1
1,State,IN,0.3333333333333333,1
1,Voice mail plan,Yes,1.0,3
