cluster,feature,category,pct_in_cluster,count
0,International plan,No,0.8972602739726028,655
0,International plan,Yes,0.10273972602739725,75
0,State,WV,0.03424657534246575,25
0,State,OH,0.031506849315068496,23
0,State,ID,0.028767123287671233,21
0,State,MN,0.028767123287671233,21
0,State,MT,0.0273972602739726,20
0,Voice mail plan,Yes,1.0,730
1,International plan,No,0.8992768595041323,1741
1,International plan,Yes,0.10072314049586777,195
1,State,WV,0.03254132231404959,63
1,State,VA,0.026859504132231406,52
1,State,NY,0.02634297520661157,51
1,State,AL,0.025826446280991736,50
1,State,OR,0.025826446280991736,50
1,Voice mail plan,No,0.9984504132231405,1933
1,Voice mail plan,Yes,0.0015495867768595042,3
