cluster,feature,category,pct_in_cluster,count
0,International plan,No,0.900709219858156,381
0,International plan,Yes,0.09929078014184398,42
0,State,MD,0.03309692671394799,14
0,State,WV,0.03309692671394799,14
0,State,AR,0.030732860520094562,13
0,State,CO,0.030732860520094562,13
0,State,OR,0.030732860520094562,13
0,Voice mail plan,No,0.9432624113475178,399
0,Voice mail plan,Yes,0.05673758865248227,24
1,International plan,No,0.897172236503856,698
1,International plan,Yes,0.10282776349614396,80
1,State,CT,0.032133676092544985,25
1,State,CO,0.028277634961439587,22
1,State,MI,0.028277634961439587,22
1,State,NY,0.028277634961439587,22
1,State,WI,0.028277634961439587,22
1,Voice mail plan,No,0.993573264781491,773
1,Voice mail plan,Yes,0.006426735218508998,5
2,International plan,No,0.8993464052287582,688
2,International plan,Yes,0.10065359477124183,77
2,State,WV,0.036601307189542485,28
2,State,MN,0.03398692810457516,26
2,State,VA,0.032679738562091505,25
2,State,NV,0.02875816993464052,22
2,State,AL,0.027450980392156862,21
2,Voice mail plan,No,0.9947712418300654,761
2,Voice mail plan,Yes,0.00522875816993464,4
3,International plan,No,0.8985714285714286,629
3,International plan,Yes,0.10142857142857142,71
3,State,WV,0.03571428571428571,25
3,State,ID,0.03,21
3,State,MN,0.02857142857142857,20
3,State,OH,0.02857142857142857,20
3,State,MT,0.027142857142857142,19
3,Voice mail plan,Yes,1.0,700
