tsne_1,tsne_2,split,target
50.806953,-2.8541157,train,non-churn
54.746326,3.9451547,train,non-churn
-41.544056,-30.330244,train,non-churn
-0.86036736,-39.512253,train,non-churn
-21.541933,-0.23858327,train,non-churn
1.1830978,-7.042705,train,non-churn
33.203827,4.8713365,train,non-churn
-8.924713,-28.778517,train,non-churn
64.067955,-8.643862,train,non-churn
-18.235678,6.5346236,train,non-churn
-5.3138824,-10.312044,train,non-churn
-26.297075,-11.31739,train,non-churn
-26.687737,-10.819197,train,non-churn
46.357563,15.196884,train,non-churn
-7.3782873,28.009249,train,non-churn
56.895187,-11.726159,train,non-churn
-43.36586,-3.2613165,train,non-churn
-14.361727,-9.419713,train,non-churn
3.735651,27.202923,train,churn
20.52229,-11.4587145,train,non-churn
-24.272352,-16.487486,train,non-churn
-20.427904,32.233196,train,non-churn
57.036045,16.094921,train,non-churn
-10.569901,33.107536,train,non-churn
-15.278927,21.822508,train,non-churn
-28.290573,-12.722704,train,non-churn
-35.204216,7.1489577,train,non-churn
4.9783707,-28.916157,train,non-churn
-46.91665,4.7990613,train,churn
58.54234,18.465439,train,non-churn
39.55211,19.6885,train,non-churn
-26.894478,17.524813,train,non-churn
32.247906,12.853719,train,non-churn
10.38746,-4.825378,train,non-churn
-9.980307,-4.763313,train,non-churn
37.35123,-6.479323,train,churn
-30.482674,14.040058,train,non-churn
-2.882975,3.3634613,train,non-churn
-32.863487,12.315961,train,non-churn
50.110146,16.471771,train,non-churn
-5.7953267,-31.880962,train,non-churn
46.590256,15.973187,train,non-churn
-21.836805,13.274695,train,non-churn
-34.387474,12.921709,train,non-churn
-19.650732,14.66761,train,non-churn
13.551822,18.497288,train,churn
-35.45858,0.9426256,train,non-churn
-5.4602494,-9.377132,train,non-churn
41.031467,0.6930373,train,churn
13.683301,-15.82445,train,non-churn
-0.16951959,-19.581018,train,non-churn
50.681477,27.109257,train,non-churn
62.012455,-14.898739,train,non-churn
-7.0592017,-1.45376,train,non-churn
58.943687,20.455984,train,non-churn
-50.047146,1.0284638,train,non-churn
8.848582,0.44589695,train,non-churn
-4.322701,17.158712,train,non-churn
7.184503,21.841953,train,churn
-23.938643,-34.254467,train,non-churn
65.76918,-3.525409,train,non-churn
-0.9062106,-11.630241,train,non-churn
-13.819148,9.145809,train,non-churn
-11.930431,20.587574,train,non-churn
-48.638744,-14.455236,train,churn
3.0122507,-29.214811,train,churn
-38.48753,-24.9026,train,non-churn
-16.835295,-7.310784,train,non-churn
-22.46399,-36.232216,train,non-churn
42.56679,16.059488,train,non-churn
63.517532,1.8438206,train,non-churn
-41.89669,-8.2567425,train,churn
3.8630571,28.060747,train,churn
-43.97535,-9.495728,train,non-churn
37.667946,-4.2332845,train,non-churn
-47.325108,-7.830307,train,churn
-6.640448,8.561286,train,non-churn
16.976156,-24.037144,train,non-churn
-28.380419,-36.74859,train,non-churn
-7.9634337,-1.0303386,train,non-churn
-46.1487,-30.774128,train,non-churn
7.755879,19.483536,train,non-churn
-13.194682,8.882843,train,churn
29.83377,14.6823015,train,non-churn
-4.4168143,-21.740688,train,non-churn
-35.40963,-26.360159,train,non-churn
8.962866,16.414583,train,non-churn
47.29201,9.9755745,train,non-churn
9.560132,-23.402517,train,non-churn
11.998297,-5.522142,train,non-churn
-40.48597,-10.567762,train,non-churn
6.951034,24.54194,train,non-churn
-26.240025,-19.157995,train,non-churn
65.01894,20.645845,train,churn
-54.89538,9.9357,train,non-churn
-46.079742,-11.7009,train,churn
48.109062,12.573334,train,non-churn
-28.516378,-6.6266427,train,non-churn
56.337284,21.640333,train,non-churn
5.9747896,23.296885,train,non-churn
-3.6153073,-19.60147,train,non-churn
-4.888425,-31.347422,train,non-churn
-34.9696,-0.247221,train,non-churn
4.5903754,21.08358,train,churn
38.477882,9.873956,train,churn
-5.010815,4.629024,train,non-churn
44.680386,0.9275157,train,non-churn
-26.211357,19.473022,train,non-churn
-37.637947,5.392031,train,non-churn
-1.1109614,28.013546,train,non-churn
14.6007395,-14.158291,train,non-churn
-30.736145,-13.49657,train,non-churn
38.40416,10.334378,train,non-churn
-44.812073,14.3794155,train,non-churn
40.84899,-10.068017,train,non-churn
45.03804,-16.891758,train,non-churn
-16.276447,-6.570601,train,non-churn
60.589607,6.168054,train,non-churn
51.620285,-13.822786,train,non-churn
-5.041191,-39.665443,train,non-churn
-28.108643,-14.667526,train,churn
4.5859585,9.148645,train,non-churn
-55.27109,5.093915,train,non-churn
49.446873,-3.0528083,train,non-churn
-0.2764216,6.986725,train,non-churn
23.939653,-12.406146,train,non-churn
-17.522058,-37.098637,train,non-churn
-32.261967,-32.641582,train,non-churn
-53.42553,-9.390275,train,churn
70.3711,-1.1927269,train,non-churn
50.396835,10.123076,train,non-churn
-3.9005036,-2.4609706,train,non-churn
-33.157272,-30.664494,train,non-churn
45.069004,-0.012655073,train,non-churn
-34.033714,-21.113136,train,non-churn
-4.430136,-24.977219,train,non-churn
54.39594,-0.9623319,train,non-churn
49.574646,-1.5865203,train,non-churn
-32.40981,-29.015203,train,non-churn
45.719624,14.40065,train,non-churn
-45.567314,-3.1115239,train,non-churn
-8.43379,-21.127445,train,non-churn
5.993207,7.278194,train,non-churn
-31.426836,-2.9368594,train,non-churn
10.224174,-19.300617,train,non-churn
0.7707971,39.33205,train,non-churn
34.90157,8.566119,train,non-churn
11.37267,29.560263,train,churn
33.991528,-7.1862464,train,non-churn
-28.358612,-7.54206,train,non-churn
-8.654981,30.703627,train,non-churn
16.947668,-12.703826,train,non-churn
-21.888792,3.2156665,train,non-churn
-9.500485,-14.38203,train,non-churn
-35.509155,6.459259,train,non-churn
-2.9096353,-2.6506011,train,non-churn
-15.061287,-31.565208,train,non-churn
-15.2563305,-19.363356,train,non-churn
-41.9851,-13.195163,train,non-churn
51.78062,-10.515833,train,non-churn
58.877056,-7.796903,train,non-churn
19.333126,-17.001781,train,non-churn
31.271935,9.247383,train,churn
-32.90827,1.0388635,train,non-churn
36.32984,8.455203,train,non-churn
-41.97491,13.645255,train,non-churn
15.524163,9.001408,train,non-churn
-17.611656,-16.954859,train,non-churn
1.1503091,-16.868708,train,non-churn
53.98615,19.191414,train,non-churn
-22.308414,10.627558,train,non-churn
-26.929165,-13.8503475,train,non-churn
-38.308575,-12.449798,train,non-churn
13.696891,-11.972182,train,non-churn
46.241966,14.835692,train,non-churn
42.45876,-8.865912,train,non-churn
-52.012222,12.953825,train,churn
12.809396,7.9423547,train,non-churn
-33.435387,-6.5982666,train,non-churn
15.809564,9.370191,train,non-churn
-55.473618,-8.311031,train,churn
19.735413,-15.674195,train,non-churn
-18.033085,-3.9531562,train,non-churn
63.18482,-2.2815123,train,non-churn
-26.093748,12.522256,train,non-churn
-29.668453,-13.1789875,train,non-churn
3.7413743,17.735344,train,non-churn
51.730827,-13.822901,train,non-churn
38.252064,15.389968,train,non-churn
-49.683937,-15.590364,train,churn
56.91204,9.436927,train,non-churn
-45.134075,14.371116,train,non-churn
-32.943783,-5.2072062,train,non-churn
-36.307514,-20.063242,train,non-churn
43.575714,-2.7362533,train,non-churn
-4.7514625,1.9793591,train,non-churn
-8.497646,8.298734,train,non-churn
-40.15398,-30.015856,train,non-churn
-11.530971,1.9941757,train,churn
-33.407932,8.591896,train,non-churn
-14.76327,-20.043545,train,non-churn
-48.387188,-24.199438,train,churn
-25.32502,8.097371,train,non-churn
42.27057,-11.219679,train,non-churn
-41.693024,-23.03861,train,non-churn
36.572544,-4.4765863,train,churn
13.498833,13.065997,train,non-churn
12.317501,5.1303396,train,non-churn
-21.608334,35.614834,train,non-churn
-29.137144,-23.164482,train,non-churn
8.197656,-2.9272382,train,non-churn
-25.203407,15.957836,train,non-churn
44.941376,7.103258,train,non-churn
-36.525078,-25.62917,train,non-churn
-12.594999,-0.29230636,train,non-churn
59.62507,-4.6186957,train,non-churn
44.80392,-1.0460613,train,non-churn
-27.021822,-15.854849,train,non-churn
-11.6629505,-5.762385,train,non-churn
-33.448338,-28.084188,train,non-churn
-7.8447094,-10.965401,train,non-churn
32.69296,-7.2910886,train,non-churn
-24.860125,-11.727501,train,non-churn
57.99003,4.017585,train,non-churn
-16.336031,-25.459187,train,non-churn
59.40601,-4.543609,train,non-churn
-25.146158,-39.03219,train,non-churn
44.68589,16.487646,train,non-churn
60.900566,7.5193453,train,non-churn
-12.8499365,-37.349384,train,non-churn
-2.821017,-24.179007,train,non-churn
-20.708145,-31.20536,train,non-churn
-18.694859,-25.173132,train,non-churn
-5.700664,-10.639734,train,non-churn
-11.691695,9.045734,train,non-churn
61.491776,-4.138379,train,non-churn
-30.985277,-33.424225,train,non-churn
-6.597178,19.678429,train,non-churn
-44.39822,-19.896507,train,non-churn
18.641447,3.3767395,train,non-churn
-19.817415,-4.802661,train,non-churn
-19.471035,26.90614,train,non-churn
9.027763,-4.490117,train,non-churn
1.3936234,13.65003,train,non-churn
15.664076,-12.010346,train,churn
-43.73505,-10.256051,train,non-churn
1.3438917,13.733111,train,non-churn
-47.074207,5.3178086,train,churn
48.624775,0.6053268,train,non-churn
-41.290604,-2.635376,train,non-churn
-33.788185,28.742777,train,non-churn
-32.10575,-16.158398,train,non-churn
-34.102306,29.353228,train,non-churn
48.61681,14.889459,train,non-churn
41.707382,23.880606,train,non-churn
45.785095,-0.49011987,train,non-churn
55.671707,-11.194619,train,churn
-33.268627,11.538789,train,non-churn
59.137817,-2.1392639,train,non-churn
-32.24011,26.645119,train,non-churn
-26.461775,-21.622675,train,non-churn
10.331897,-24.815842,train,non-churn
49.839085,13.320498,train,non-churn
49.84375,1.3488895,train,non-churn
-42.433594,-11.254229,train,non-churn
6.272237,0.5294605,train,non-churn
-8.751407,28.346159,train,non-churn
-40.43483,9.534638,train,churn
14.777219,20.20437,train,churn
-17.752653,25.272013,train,non-churn
-19.519363,-16.912043,train,non-churn
44.839264,-17.231644,train,non-churn
-35.704754,-6.025099,train,non-churn
-38.713905,4.1441817,train,non-churn
-37.312202,10.130929,train,non-churn
-16.449982,-21.394207,train,churn
18.280678,-15.530905,train,non-churn
63.974827,0.06376478,train,non-churn
7.0153756,42.006535,train,non-churn
50.600853,20.860743,train,non-churn
7.926848,5.836631,train,non-churn
42.096664,-8.683684,train,non-churn
14.884071,-14.652413,train,non-churn
40.935562,16.800852,train,non-churn
-10.347074,-0.22537118,train,churn
14.819738,6.562554,train,non-churn
61.080578,-14.231456,train,non-churn
-10.676106,8.985555,train,non-churn
11.455077,-18.74895,train,non-churn
-46.06175,-20.867891,train,non-churn
43.465393,24.644236,train,non-churn
47.307213,16.770006,train,non-churn
49.052547,14.872306,train,non-churn
9.37654,-10.39404,train,churn
