tsne_1,tsne_2,split,target,perplexity
64.437454,-12.197297,train,non-churn,10.0
85.651924,-18.632847,train,non-churn,10.0
-65.53324,-37.289364,train,non-churn,10.0
-3.2888498,14.747336,train,non-churn,10.0
-21.487263,-9.852875,train,non-churn,10.0
23.96861,-27.178284,train,non-churn,10.0
70.06249,15.958683,train,non-churn,10.0
-3.6279666,-53.110508,train,non-churn,10.0
70.290665,-20.927763,train,non-churn,10.0
-3.4190025,40.727592,train,non-churn,10.0
-13.991266,-50.985046,train,non-churn,10.0
-45.28025,-17.987286,train,non-churn,10.0
-44.36006,-18.19738,train,non-churn,10.0
37.275826,5.140777,train,non-churn,10.0
12.836818,-11.984916,train,non-churn,10.0
66.279945,2.3009167,train,non-churn,10.0
-50.317837,5.858041,train,non-churn,10.0
-29.049309,-38.661118,train,non-churn,10.0
11.698442,1.5099293,train,churn,10.0
20.512888,46.207123,train,non-churn,10.0
-47.480812,-24.706015,train,non-churn,10.0
-53.777462,52.57047,train,non-churn,10.0
71.88667,4.8310895,train,non-churn,10.0
-35.92308,-4.3405204,train,non-churn,10.0
-13.967659,-17.272873,train,non-churn,10.0
-51.659218,-20.500906,train,non-churn,10.0
-33.421413,22.864573,train,non-churn,10.0
2.8911557,27.13583,train,non-churn,10.0
-62.312706,31.109913,train,churn,10.0
62.566616,1.2404805,train,non-churn,10.0
43.04837,25.876892,train,non-churn,10.0
-42.559174,37.91622,train,non-churn,10.0
54.070835,33.48547,train,non-churn,10.0
24.118864,37.282185,train,non-churn,10.0
-13.546107,-12.421708,train,non-churn,10.0
34.876102,-12.099396,train,churn,10.0
-17.780546,17.866957,train,non-churn,10.0
-1.1688466,-39.77189,train,non-churn,10.0
-36.231037,18.571154,train,non-churn,10.0
47.956306,6.573319,train,non-churn,10.0
-17.50517,-8.597364,train,non-churn,10.0
36.479824,5.4735994,train,non-churn,10.0
-15.491392,26.343477,train,non-churn,10.0
-34.603294,14.327357,train,non-churn,10.0
-1.6868839,-7.5149755,train,non-churn,10.0
23.257183,9.857375,train,churn,10.0
-38.0449,15.698901,train,non-churn,10.0
-14.168915,-52.331375,train,non-churn,10.0
46.922077,-12.483295,train,churn,10.0
-3.1933937,45.22416,train,non-churn,10.0
3.7117682,-48.354164,train,non-churn,10.0
76.18232,29.795692,train,non-churn,10.0
69.44271,-7.0774727,train,non-churn,10.0
-9.789248,29.140064,train,non-churn,10.0
62.19171,9.198535,train,non-churn,10.0
-80.242226,-23.085186,train,non-churn,10.0
-22.455658,65.59905,train,non-churn,10.0
5.227761,-15.6755495,train,non-churn,10.0
19.368757,5.601232,train,churn,10.0
-61.759975,-22.369936,train,non-churn,10.0
75.156494,-20.137362,train,non-churn,10.0
3.3158882,-28.841805,train,non-churn,10.0
3.9554834,-7.971042,train,non-churn,10.0
-16.772787,-21.913572,train,non-churn,10.0
-63.63169,6.4756746,train,churn,10.0
4.5798264,26.619593,train,churn,10.0
-43.57676,-0.030430142,train,non-churn,10.0
-32.024178,-34.073807,train,non-churn,10.0
-64.24928,-25.462835,train,non-churn,10.0
49.821857,21.974888,train,non-churn,10.0
77.76669,-15.299304,train,non-churn,10.0
-32.22,-25.914257,train,churn,10.0
13.283666,9.928457,train,churn,10.0
-48.381607,-32.18814,train,non-churn,10.0
45.24835,-16.437904,train,non-churn,10.0
-60.049446,6.1564507,train,churn,10.0
-16.93661,6.546472,train,non-churn,10.0
32.170013,46.155567,train,non-churn,10.0
-10.501693,48.30245,train,non-churn,10.0
-13.653517,13.15928,train,non-churn,10.0
